iso3,country_name,degree,degree_centrality,betweenness_centrality,closeness_centrality
TTO,Trinidad and Tobago,22,0.11518324607329844,0.0030721476949033097,0.4935400516795866
ARG,Argentina,22,0.11518324607329844,9.727379077436278e-05,0.5093333333333333
SEN,Senegal,21,0.1099476439790576,0.004357377318383275,0.5120643431635389
BRN,Brunei Darussalam,18,0.09424083769633508,0.010558604025084458,0.46359223300970875
LIE,Liechtenstein,18,0.09424083769633508,0.00031392398212860064,0.4798994974874372
CYP,Cyprus,18,0.09424083769633508,0.0002934941917983966,0.4935400516795866
AND,Andorra,17,0.08900523560209425,0.0004817871274812453,0.4847715736040609
PAN,Panama,17,0.08900523560209425,3.404220752606096e-05,0.49869451697127937
KEN,Kenya,15,0.07853403141361257,0.0003326741629413568,0.4948186528497409
NGA,Nigeria,15,0.07853403141361257,3.1504097579456162e-06,0.49226804123711343
COL,Colombia,14,0.07329842931937174,0.00018336881169283471,0.4897435897435897
BWA,Botswana,14,0.07329842931937174,0.00012431604853919005,0.4910025706940874
KNA,Saint Kitts and Nevis,13,0.06806282722513089,0.0009062974690175299,0.4515366430260047
BLZ,Belize,13,0.06806282722513089,0.0005789494871893158,0.46359223300970875
CIV,Côte d’Ivoire,13,0.06806282722513089,0.0005020905673240597,0.49869451697127937
GGY,Bailiwick of Guernsey,13,0.06806282722513089,0.00027751170836976853,0.4515366430260047
GRD,Grenada,12,0.06282722513089006,0.0008673132704121735,0.4580335731414868
ATG,Antigua and Barbuda,12,0.06282722513089006,0.00048682666396247776,0.46246973365617433
JEY,Jersey,12,0.06282722513089006,0.00010052739572775683,0.4569377990430622
NAM,Namibia,11,0.05759162303664922,0.010500502825379896,0.4763092269326683
VCT,Saint Vincent and the Grenadines,11,0.05759162303664922,0.000258883902459693,0.4462616822429907
GAB,Gabon,10,0.05235602094240838,0.00021344285619593153,0.45913461538461536
PNG,Papua New Guinea,10,0.05235602094240838,0.00012662791184574461,0.4441860465116279
IRN,Iran,10,0.05235602094240838,7.276699161036347e-05,0.4681372549019608
IMN,Isle of Man,10,0.05235602094240838,4.785195464024442e-05,0.4431554524361949
DMA,Dominica,10,0.05235602094240838,0.0,0.42444444444444446
LCA,Saint Lucia,10,0.05235602094240838,0.0,0.42444444444444446
MCO,Monaco,9,0.04712041884816754,0.0005191850418439088,0.45476190476190476
PER,Peru,9,0.04712041884816754,4.239353922462217e-06,0.4431554524361949
XKV,Kosovo,9,0.04712041884816754,0.0,0.4613526570048309
ETH,Ethiopia,8,0.041884816753926704,8.453117970873191e-05,0.4669926650366748
KGZ,Kyrgyzstan,8,0.041884816753926704,1.0052965951704376e-05,0.45368171021377673
FRO,Faroe Islands,7,0.03664921465968587,0.0003611453354883378,0.45260663507109006
BFA,Burkina Faso,7,0.03664921465968587,0.00017911270322402864,0.42921348314606744
CMR,Cameroon,7,0.03664921465968587,5.932731581093934e-05,0.46359223300970875
FJI,Fiji,7,0.03664921465968587,3.268485419503232e-05,0.4263392857142857
TKM,Turkmenistan,7,0.03664921465968587,0.0,0.4515366430260047
BGD,Bangladesh,6,0.03141361256544503,0.0005108487546354278,0.4739454094292804
MAC,Macau (China),6,0.03141361256544503,0.00011976945341777534,0.43115124153498874
TWN,Chinese Taipei,6,0.03141361256544503,6.123511221334313e-06,0.46472019464720193
MRT,Mauritania,6,0.03141361256544503,5.0101455447280745e-06,0.45047169811320753
MDV,Maldives,5,0.02617801047120419,6.555832750862983e-05,0.4197802197802198
PRY,Paraguay,5,0.02617801047120419,6.933683566364746e-06,0.4225663716814159
COG,Congo,5,0.02617801047120419,6.123511221334313e-06,0.4360730593607306
SLE,Sierra Leone,5,0.02617801047120419,6.073652668893248e-06,0.4580335731414868
MWI,Malawi,5,0.02617801047120419,0.0,0.4763092269326683
DZA,Algeria,5,0.02617801047120419,0.0,0.47512437810945274
BEN,Benin,4,0.020942408376963352,7.175944076640997e-05,0.4360730593607306
CPV,Cabo Verde,4,0.020942408376963352,5.4862050013494625e-05,0.4197802197802198
SWZ,Eswatini,4,0.020942408376963352,1.986240543272883e-05,0.44212962962962965
GMB,Gambia,4,0.020942408376963352,9.28510668887105e-06,0.45047169811320753
GRL,Greenland,4,0.020942408376963352,7.873085856001259e-06,0.39544513457556935
